DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-09-26,48.1675,40.11,37.0575,33.0825,39.77,41.455,47.3675,39.6875,22.16,21.2925,21.5375,25.635,47.6625,63.24,65.99,75.33,101.645,73.05,235.485,94.8,43.2025,38.375,41.425,26.8875
2023-09-25,23.6775,22.5525,23.0675,23.3875,24.31,35.2875,53.495,47.2675,42.9725,29.27,42.4775,39.4275,37.5025,39.885,54.415,66.4875,62.97,40.7,175.3875,168.16,43.1575,40.5025,56.1225,43.306
2023-09-24,24.47,23.9875,22.6175,21.805,22.4,22.7825,23.1975,24.5175,22.5825,20.9525,23.8575,41.74,53.2875,88.0625,138.5225,241.0975,607.0525,346.7225,254.315,141.1825,40.1375,31.17,32.6025,25.896
2023-09-23,27.0325,22.1325,25.185,24.7875,22.335,25.0375,27.495,29.535,18.6825,18.16,23.1175,32.43,46.9025,55.11,40.44,70.745,96.825,141.635,588.8525,364.6625,76.98,60.66,66.94,26.748
2023-09-22,23.26,19.5325,25.77,18.705,24.2175,30.1225,24.635,23.855,19.16,10.0525,4.35,6.2275,23.2025,42.2625,43.535,60.725,57.3425,35.745,137.4775,120.385,40.3675,30.97,29.4425,27.008
2023-09-21,26.6075,20.78,21.0125,19.945,26.345,34.05,37.4275,39.0925,34.1525,26.5525,26.695,23.7425,52.625,82.6675,114.3475,76.2175,62.7225,37.3825,63.8775,55.3875,37.6575,25.9175,24.6675,22.318
2023-09-20,18.03,15.53,13.9575,12.93,16.2975,17.4375,19.75,21.1075,17.4775,18.265,19.955,23.83,27.2725,40.8,30.6175,48.9125,74.925,108.9375,261.895,141.6725,59.6725,38.5825,29.5775,25.1575
2023-09-19,1.96,0.955,-0.805,-1.595,-0.6575,14.3425,20.7025,22.48,17.8025,9.7575,4.67,5.21,8.0375,11.0025,25.13,26.425,25.74,27.1,31.705,53.825,42.6225,35.2375,25.885,20.726
2023-09-18,21.5475,19.89,17.335,16.305,15.4475,16.1725,18.5175,18.115,14.5975,15.22,15.83,13.3025,5.395,11.0675,21.525,28.175,42.945,31.37,71.8225,59.8925,37.82,27.6825,18.54,5.722
2023-09-17,37.9875,31.0025,35.92,37.155,37.7725,31.2225,22.5275,22.2125,18.8625,17.33,19.065,22.735,24.8125,36.6175,26.9125,42.135,40.13,43.3,481.8225,80.975,107.4875,34.3625,37.2175,23.31
2023-09-16,22.8125,22.97,22.5775,20.365,19.74,18.6375,20.2475,26.1775,21.4825,20.64,22.8575,37.5075,28.5525,33.3625,24.4325,23.31,24.8725,23.955,26.285,57.8975,32.3425,47.5725,40.1825,32.408
2023-09-15,21.5125,22.4775,22.7975,22.2925,21.7675,22.8125,25.4575,31.16,25.3825,22.885,23.405,26.86,41.555,34.105,118.36,35.55,37.2425,58.9175,47.1925,80.5,40.3075,33.4775,25.275,27.766
2023-09-14,28.4875,26.9925,25.46,24.99,26.36,28.9025,34.9325,38.35,28.945,26.1025,25.62,23.8575,26.9125,31.895,26.9925,24.57,24.4225,25.03,25.3175,51.2075,28.8425,24.2625,21.7225,20.22
2023-09-13,57.415,38.31,51.045,51.845,49.71,40.065,49.06,37.505,26.1825,28.6875,26.1425,30.4075,41.1825,52.21,33.17,26.8125,26.4375,26.8125,26.9275,38.27,37.43,29.15,33.98,25.0525
2023-09-12,20.055,21.4275,20.2375,21.1675,22.915,24.0325,27.97,27.7625,26.375,24.5975,23.6975,23.1875,25.285,29.61,33.2825,43.65,56.005,70.0375,34.465,39.1125,34.8425,37.7825,54.935,50.39
2023-09-11,16.32,15.5375,14.67,17.35,19.92,21.795,20.8825,20.345,18.3675,18.0125,18.9675,20.1575,16.34,15.2025,20.965,24.99,26.0725,25.49,25.29,45.3175,30.7525,20.9775,21.06,19.09
2023-09-10,22.575,21.9375,30.435,39.4975,26.3475,19.39,18.2775,16.9775,15.445,14.4525,15.6225,17.4575,20.2575,21.6625,22.8975,24.495,27.2575,39.355,65.7325,44.2625,26.925,20.3675,17.9575,17.065
2023-09-09,23.4575,23.7575,24.08,22.64,23.7925,23.1025,39.6725,43.83,20.6625,20.8075,22.74,24.8725,26.4725,33.66,44.24,50.935,80.155,51.24,42.615,110.1625,69.6625,51.08,32.295,24.763333333
2023-09-08,22.555,19.505,16.9,16.25,16.5575,17.945,19.8625,20.3875,18.4525,19.335,24.0975,30.49,39.42,78.855,135.7125,661.2325,3349.7275,2074.1925,2057.19,551.78,65.4775,30.8825,27.0525,22.865
2023-09-07,25.8675,21.83,19.9675,18.8,18.7975,20.0625,22.2475,22.0925,20.4725,21.5775,23.1225,26.2525,39.4975,64.76,61.485,135.2675,1063.3775,453.72,1893.785,3885.7375,157.35,47.4425,30.04,25.2325
